,tconst,title,numVotes,averageRating,genres,runtimeMinutes,startYear,popularity,id_x,overview,poster_path,id_tmdb_x,id_tmdb_y,name_x,Unnamed: 0,id_tmdb,iso_639_1,iso_3166_1,name_y,key,site,size,type,official,published_at,id_y,lien
1561,tt6704776,Le photographe de Mauthausen,12527,6.7,"Biography,Drama,History",110,2018,20.663,528949,"Avec l’aide d’un groupe de prisonniers espagnols à la tête de l’organisation clandestine du camp de concentration de Mauthausen, Francisco Boix, prisonnier travaillant dans le laboratoire photographique du camp, risque sa vie en planifiant la sortie secrète de certains négatifs. Ils montreront au monde les atrocités commises par les nazis dans l’enfer du camp de concentration autrichien. Des milliers de négatifs qui témoignent de toute la cruauté d’un système pervers. Les photographies que Boix et ses compagnons ont réussi à sauver ont été déterminantes pour condamner les hauts responsables nazis lors des procès de Nuremberg en 1946. Boix était le seul Espagnol à avoir assisté aux audiences.",https://image.tmdb.org/t/p/original//3DuMrjfkVp0nANK6dA6bBzTGtag.jpg,tt6704776,528949,"communist,photographer,holocaust (shoah),world war ii,spanish civil war (1936-39),biography,based on true story,holocaust (shoah) survivor,woman director,nazi occupation,nazism,concentration camp survivor,1940s,spanish second republic (1931-39),nazi trials,nazi war criminal,spanish republican",0,528949,fr,FR,Bande-annonce VF,RaXM34S7Blw,YouTube,1080.0,Trailer,False,2019-02-25T08:56:50.000Z,5c73adee9251414b66b0162e,https://www.youtube.com/watch?v=RaXM34S7Blw
1562,tt1078188,Boy A,38850,7.6,Drama,106,2007,13.053,14748,"À 24 ans, Jack sort de prison où il a passé toute son adolescence pour un meurtre qu'il a commis lorsqu'il était enfant. Dès sa libération, Terry, assistant social, l'emmène le plus loin possible de ce scandale encore présent dans tous les esprits. Terry lui donne un autre nom, lui trouve un travail, une maison.",https://image.tmdb.org/t/p/original//yFPhc5RpqWq1TkQCsDV3tocprSm.jpg,tt1078188,14748,"child abuse,rape,based on novel or book,parent child relationship,rehabilitation,based on true story,coming of age,criminal,incest,childhood,haunted by the past,moral dilemma,violent youth",0,14748,fr,FR,BOY A (Bande Annonce),NN82ZUmCzug,YouTube,360.0,Trailer,False,2009-02-26T06:30:09.000Z,5eb645f5fd7aa4001c5c1999,https://www.youtube.com/watch?v=NN82ZUmCzug
1563,tt8722346,Queen & Slim,34587,7.1,"Crime,Drama,Romance",132,2019,29.576,536743,"Lors d’un ordinaire rendez-vous amoureux en Ohio, un homme noir et une femme noire, sont arrêtés pour une infraction mineure de circulation. La situation dégénère, entraînant des conséquences soudaines et tragiques quand l’homme tue un policier pour se défendre. Terrifiés et leurs vies désormais en danger, l’homme, un employé de magasin, et la femme, avocate de la défense criminelle, se voient obligés de fuir. Mais l’incident a été filmé et la vidéo se propage. Le couple devient alors involontairement un symbole de traumatisme, terreur, deuil et douleur pour les américains. Alors qu’ils conduisent, ces deux improbables fugitifs vont apprendre à se connaître l’un l’autre mais aussi se découvrir eux-mêmes dans des circonstances des plus extrêmes et désespérées. Ils vont forger un amour sincère et puissant qui va révéler leur profonde humanité et façonner le reste de leurs vies.",https://image.tmdb.org/t/p/original//ff9cuxFkjpE2W5qPWf0OozAQcLc.jpg,tt8722346,536743,"on the run,black activist,police officer killed,racist cop,first date,woman director,killer on the run",0,536743,fr,FR,Queen & Slim - Bande Annonce [VF],giQzeyTfq-g,YouTube,1080.0,Trailer,True,2019-10-23T11:18:46.000Z,5db0495ebfeb8b00111d7c8a,https://www.youtube.com/watch?v=giQzeyTfq-g
1564,tt2057931,L'enfance volée,1494,7.3,Drama,107,2011,7.751,81556,"L'orphelin Max est confié aux Bösiger, une famille de paysans suisses. Il est traité par sa famille d'accueil comme une bête de somme et est constamment humilié par Jakob, le fils de la famille. L'accordéon est la seule chose dont personne ne peut le priver. Quand la nouvelle institutrice du village décide de le soutenir, la vie de Max ne fait qu'empirer. La seule chose qui préserve sa volonté de survie est l'amitié qui le lie à Berteli, elle aussi une enfant placée. Avec elle, Max rêve de partir en Argentine, dans un univers fantastique où, à ce qu'il paraît, même les fourches sont en argent. L'Enfance Volée est une histoire simple et brutale qui condamne l'injustice, le silence et la violence des hommes. Le film parle également de passion et de rêves au travers de l'amour que Max éprouve pour la musique et son accordéon. Le jeune garçon s'accroche à son rêve de devenir un jour un grand musicien, un objectif qui lui permet de survivre.",https://image.tmdb.org/t/p/original//5UepHckfRQM5iaOiITyCBVXmM8z.jpg,tt2057931,81556,"child abuse,orphan",0,81556,fr,FR,L'Enfance Volée (Der Verdingbub) - Bande-annonce,1xMfg6QqD3E,YouTube,720.0,Trailer,False,2012-02-23T16:42:07.000Z,5ab004fa92514116b103dce5,https://www.youtube.com/watch?v=1xMfg6QqD3E
1565,tt4411504,El Clan,14291,6.9,"Biography,Crime,Drama",108,2015,16.064,352161,"Dans l’Argentine des années 1980, un clan machiavélique auteur de kidnappings et de meurtres vit sous l’apparence d’une famille ordinaire dans un quartier tranquille de Buenos Aires. Le clan est mené d’une main de fer par Arquimedes, le patriarche. Il contraint Alejandro, son fils aîné, une star du rugby évoluant dans la mythique équipe nationale, Los Pumas, ainsi protégé de tous soupçons par sa popularité, à lui fournir des candidats au kidnapping.",https://image.tmdb.org/t/p/original//7vospbEfGSN6AcZv1foZf3b7FHW.jpg,tt4411504,352161,"ransom,kidnapping,buenos aires, argentina,argentina,military dictatorship,dictatorship aftermath",0,352161,fr,FR,EL CLAN - EXTRAIT 2 VOSTFR,WF7ZY9u4ruM,YouTube,1080.0,Clip,True,2016-02-02T11:12:32.000Z,5abf60a7925141602a025af4,https://www.youtube.com/watch?v=WF7ZY9u4ruM
1566,tt0265116,Chaos,2482,7.0,"Comedy,Crime,Drama",109,2001,6.105,44164,"Un soir, en conduisant en ville, un couple bourgeois, Hélène et Paul, est témoin d'une scène violente : Malika, une prostituée, est poursuivie par des truands. La jeune fille appelle à l'aide, tente de se réfugier dans la voiture du couple, mais Paul verrouille les portières du véhicule. Malika est alors tabassée et laissée pour morte sur le trottoir.Le conducteur s'empresse de nettoyer sa voiture pour faire disparaître les traces de sang, tandis que sa femme cherche à savoir ce qu'est devenue cette jeune fille. Elle la retrouve dans le service de réanimation d'un hôpital parisien et la soutient dans sa lente résurrection, délaissant quelque peu son foyer.Mais les proxénètes qui ont agressé Malika n'entendent pas la laisser tranquille, et bientôt Hélène se retrouve impliquée dans une histoire qui la dépasse : elle entreprend de redonner goût à la vie à la prostituée et de la tirer des griffes de ses bourreaux.",https://image.tmdb.org/t/p/original//brHZ7BbdelpYdoBPOj8ga6pFCux.jpg,tt0265116,44164,woman director,0,44164,fr,FR,Chaos bande annonce,TTyHwHC3cJs,YouTube,1080.0,Trailer,False,2007-11-20T12:11:16.000Z,63d2d77066ae4d008c927197,https://www.youtube.com/watch?v=TTyHwHC3cJs
1567,tt3521126,The Disaster Artist,164094,7.3,"Biography,Comedy,Drama",104,2017,31.278,371638,"Dans The Disaster Artist, James Franco transforme l’histoire vraie tragi-comique du cinéaste en devenir et célèbre outsider Tommy Wiseau – dont la contestabilité des méthodes n’avait d’égale que la sincérité de sa passion – en la célébration d’une quête presque impossible d’amitié, d’expression artistique et de rêves. Inspiré du best-seller révélateur de Greg Sestero sur la création de The Room, le nanar classique de Tommy (« le meilleur pire film jamais tourné »), The Disaster Artist est un rappel hilarant et nécessaire qu’il existe de nombreuses manières de devenir une légende – et qu’il n’y a aucune limite à ce qu’une personne peut faire quand elle n’a aucune idée de ce qu’elle fait.",https://image.tmdb.org/t/p/original//1htrNldlPGx2ZIyKvsoWbRkjGBQ.jpg,tt3521126,371638,"immigrant,jealousy,based on novel or book,ambition,biography,based on true story,behind the scenes,disaster,hollywood,desire,wealthy man,strange behavior,strange person,socially awkward,film production",0,371638,fr,FR,The Disaster Artist - Bande Annonce Officielle (VOST) - James Franco,NXyK__ICsAo,YouTube,1080.0,Trailer,True,2018-01-09T14:45:48.000Z,5a872be79251417593040847,https://www.youtube.com/watch?v=NXyK__ICsAo
1568,tt0326429,Le miracle de Berne,7470,6.7,"Drama,Sport",118,2003,13.563,1611,"Été 1954, la famille Lubanski attend le retour du père, prisonnier de guerre en Union soviétique. Depuis plus de dix ans, Christa s’est occupée seule des enfants et Matthias, son fis de 11 ans, a trouvé un père de substitution en Helmut Rahn, la star de l’équipe de football d’Essen. Quand l’équipe nationale allemande arrive en finale, Matthias veut absolument aller à Berne pour porter chance à son idole.",https://image.tmdb.org/t/p/original//3hBzCVAIrBgqwqZkLvHkn6erSGF.jpg,tt0326429,1611,"budapest, hungary,sports,hungary,bern,football (soccer),football (soccer) coach",0,1611,fr,FR,Le miracle de Berne (VOST),NI06MxIJciw,YouTube,1080.0,Clip,False,2017-02-16T17:15:21.000Z,5aa788f50e0a263dd301c195,https://www.youtube.com/watch?v=NI06MxIJciw
1569,tt8772262,Midsommar,401664,7.1,"Drama,Horror,Mystery",148,2019,85.014,530385,"Dani et Christian sont sur le point de se séparer quand la famille de Dani est touchée par une tragédie. Attristé par le deuil de la jeune femme, Christian ne peut se résoudre à la laisser seule et l’emmène avec lui et ses amis à un festival estival qui n’a lieu que tous les 90 ans et se déroule dans un village suédois isolé. Mais ce qui commence comme des vacances insouciantes dans un pays où le soleil ne se couche pas va vite prendre une tournure beaucoup plus sinistre et inquiétante.",https://image.tmdb.org/t/p/original//17pvY55Zr60niVovNvgt72mwvES.jpg,tt8772262,530385,"ritual,paranoia,sweden,melancholy,cult,hallucinogenic drug,magic mushroom,anthropology,human sacrifice,paganism,death of family,macabre,boyfriend girlfriend relationship,midsummer,cultural conflict,mysterious,bad trip,folk horror,toxic relationship,midnight sun,isolated community,summer festival,traumatized woman,introspective,violence,ambiguous",4,530385,fr,FR,« Ari Aster : “ Midsommar ” complète “ Hérédité ” » VOST,R7qR9KUaWWc,YouTube,1080.0,Behind the Scenes,True,2019-08-07T08:34:26.000Z,5d4ac45d53f8330015d2a8ac,https://www.youtube.com/watch?v=R7qR9KUaWWc
1570,tt14775784,Great Freedom,7306,7.5,Drama,116,2021,13.881,835975,"L’histoire de Hans Hoffmann. Il est gay et l’homosexualité, dans l’Allemagne d’après guerre, est illégale selon le paragraphe 175 du Code pénal. Mais il s’obstine à rechercher la liberté et l’amour même en prison...",https://image.tmdb.org/t/p/original//1eDJMOn3vHLZj1i0F4ShQzbvna.jpg,tt14775784,835975,"prison,post war germany,love,male homosexuality,lgbt,gay theme",0,835975,fr,FR,Great Freedom - Bande annonce VOST,232YhMUEHZk,YouTube,1080.0,Trailer,True,2022-01-20T13:50:55.000Z,6202779a2f3b1700f4dac135,https://www.youtube.com/watch?v=232YhMUEHZk
1571,tt5376196,La Tête à l'envers,2854,6.7,"Comedy,Crime,Drama",103,2017,9.632,424634,"Un célèbre critique musical est brutalement renvoyé de son journal. Le coup porté à son égo est tel qu’il perd tout sens de la mesure, cache la vérité à sa femme, et décide de se venger de son ancien employeur, d’une façon aussi abracadabrante qu’inefficace…",https://image.tmdb.org/t/p/original//2WeomCCHzORyke87lJ1P855PIfX.jpg,tt5376196,424634,"revenge,jobless,unlikely friendship",0,424634,fr,FR,LA TETE A L'ENVERS - BANDE ANNONCE OFFICIELLE,DvJcQejh-XI,YouTube,1080.0,Trailer,True,2017-09-28T07:00:00.000Z,5a1b29879251410329046198,https://www.youtube.com/watch?v=DvJcQejh-XI
1572,tt8956284,Rimini,2162,6.9,"Comedy,Drama,Music",114,2022,10.92,505570,"Deux frères se retrouvent brièvement à l'enterrement de leur mère en Autriche, puis retournent à leur vie respective en Roumanie et en Italie. Mais ils n'arrivent pas à laisser leur passé commun derrière eux.",https://image.tmdb.org/t/p/original//qq5g4N6PlIk7xLLkhY2StIPxJGw.jpg,tt8956284,505570,"pop star,fame,fame-seeking",0,505570,fr,FR,Rimini - Bande Annonce [VOST],y4d9Wo_DM_k,YouTube,1080.0,Trailer,False,2022-11-02T11:43:09.000Z,64034c7d021cee008470a459,https://www.youtube.com/watch?v=y4d9Wo_DM_k
1573,tt4932154,Moi et mon monde,7222,7.2,"Drama,Romance",115,2016,10.301,360737,"Phil, 17 ans, vit avec sa mère et sa sœur jumelle dans un vieux manoir aux abords de la ville. De retour à la maison après ses vacances estivales, Phil se rend compte que l’atmosphère y a changé. Phil ne s’en soucie guère, passe du temps avec sa meilleure amie, Kat. Et se sent irrésistiblement attiré par un mystérieux nouvel étudiant…",https://image.tmdb.org/t/p/original//jf6voOZP1vS3xp0RSFVD28xEzhT.jpg,tt4932154,360737,"coming of age,lgbt,gay theme",0,360737,fr,FR,CENTER OF MY WORLD - Bande Annonce (DVD & VOD),BM84vWrxel8,YouTube,1080.0,Trailer,True,2017-11-14T11:06:21.000Z,5aae5d490e0a265ddb00ff2f,https://www.youtube.com/watch?v=BM84vWrxel8
